Title,Description,category,combined_text
When is entity replacement necessary for relation extraction?,"<p>In this <a href=""https://www.microsoft.com/developerblog/2016/09/13/training-a-classifier-for-relation-extraction-from-medical-literature/#Reuse"" rel=""nofollow noreferrer"">tutorial</a> for ""Training a Machine Learning Classifier for Relation Extraction from Medical Literature"" the author does Entity replacement because that ""we don’t want the model to learn according to a specific entity name, but we want it to learn according to the structure of the text"".</p>

<p>Is this generally true or does it depend on the dataset or the used models?</p>
",Coreference & Relation Extraction,entity replacement necessary relation extraction tutorial training machine learning classifier relation extraction medical literature author doe entity replacement want model learn according specific entity name want learn according structure text generally true doe depend dataset used model
Using Stanford CoreNLP,"<p>I am trying to get around using the Stanford CoreNLP. I used some code from the web to understand what is going on with the coreference tool. I tried running the project in Eclipse but keep encountering an out of memory exception. I tried increasing the heap size but there isnt any difference.</p>
<p>Why this keeps happening? Is this a code specific problem?</p>
<p>Here is my code:</p>
<pre><code>import edu.stanford.nlp.dcoref.CorefChain;
import edu.stanford.nlp.dcoref.CorefCoreAnnotations;
import edu.stanford.nlp.pipeline.Annotation;
import edu.stanford.nlp.pipeline.StanfordCoreNLP;


import java.util.Iterator;
import java.util.Map;
import java.util.Properties;


public class testmain {

    public static void main(String[] args) {

        String text = &quot;Viki is a smart boy. He knows a lot of things.&quot;;
        Annotation document = new Annotation(text);
        Properties props = new Properties();
        props.put(&quot;annotators&quot;, &quot;tokenize, ssplit, pos, parse, dcoref&quot;);
        StanfordCoreNLP pipeline = new StanfordCoreNLP(props);
        pipeline.annotate(document);


        Map&lt;Integer, CorefChain&gt; graph = document.get(CorefCoreAnnotations.CorefChainAnnotation.class);



        Iterator&lt;Integer&gt; itr = graph.keySet().iterator();
    
        while (itr.hasNext()) {
        
             String key = itr.next().toString();
        
             String value = graph.get(key).toString();
        
             System.out.println(key + &quot; &quot; + value);      
        }

   }
}
</code></pre>
",Coreference & Relation Extraction,using stanford corenlp trying get around using stanford corenlp used code web understand going coreference tool tried running project eclipse keep encountering memory exception tried increasing heap size isnt difference keep happening code specific problem code
Relation Extraction Model returns only one entity instead of entity pairs,"<p>I'm working on a relation extraction model task using a transformer-based model. the `pipeline is expected to extract entity pairs along with their labelled relation labels. When I run the evaluation after training the model on labelled data, it works fine. However, when I run the model pipeline, the model sometimes returns only one entity instead of a complete entity pair, along with relation label. I don't quite understand how the model is making a prediction for relation label just by considering one entity.</p>
<pre><code>def entity_extract(text):
    doc_=MODEL_NER(text)
    for name, proc in MODEL_REL.pipeline:
            doc_ = proc(doc_)
    return doc_
</code></pre>
<pre><code>def relation_extraction(doc):
    relation_extraction_output = {}
    unique_entities = set()

    for span, rel_dict in doc._.rel.items():
        # Extract the relation with the highest confidence score
        most_probable_relation = max(rel_dict, key=rel_dict.get)
        score = rel_dict[most_probable_relation]
        
        # Skip if the score is below the cutoff (0.5 50%  in your case)
        if score &lt;= 0.5:
            continue

        start, end = span
        relation_span = doc[start:end]
        # Extract entities involved in the relation
        entities = [ent for ent in relation_span.ents if ent.text not in unique_entities]
        # Store the information if entities exist
        if entities:
            unique_entities.update(ent.text for ent in entities)  # Efficient update
            # Create a key for the entity pair
            entity_pair = tuple(sorted([ent.text for ent in entities]))
            if entity_pair not in relation_extraction_output:
                relation_extraction_output[entity_pair] = {
                    'relations': [],
                    'scores': []
                }
            # Append the relation and score
            relation_extraction_output[entity_pair]['relations'].append(most_probable_relation)
            relation_extraction_output[entity_pair]['scores'].append(score)
    # Convert the output to a list of dictionaries
    final_output = [
        {
            'entities': key,
            'relations': value['relations'],
            'scores': value['scores']
        }
        for key, value in relation_extraction_output.items()
    ]
    return final_output
</code></pre>
<pre><code>def extract_relation(file):
    filename = os.path.splitext(os.path.basename(file))[0]
    print(&quot;Starting to process RelationExtract part for file:&quot;, filename)
    chunk_size=10000
    # Define a function to process each row in a chunk
    def process_row(row):
        try:
            text = entity_extract(row[&quot;sent&quot;])
            return relation_extraction(text)
        except Exception as e:
            print(f&quot;Error processing row: {e}&quot;)
            return None
</code></pre>
<p>Expected output: entity pair: [entity1, entity2], relation: [relation_label]
Actual output: [entity1, ], relation: [relation_label]</p>
",Coreference & Relation Extraction,relation extraction model return one entity instead entity pair working relation extraction model task using transformer based model pipeline expected extract entity pair along labelled relation label run evaluation training model labelled data work fine however run model pipeline model sometimes return one entity instead complete entity pair along relation label quite understand model making prediction relation label considering one entity expected output entity pair entity entity relation relation label actual output entity relation relation label
What does surface form mean in relation extraction?,"<p>The term &quot;entity surface form&quot; is repeatedly mentioned in most of relation extraction papers. What does it mean?</p>
<p>For example, in the REBEL paper, the author mentions that &quot;a relation is considered correct only if the head and tail entity surface forms are correctly extracted.&quot;</p>
<p>What is meant by &quot;head&quot; and &quot;tail&quot;?</p>
",Coreference & Relation Extraction,doe surface form mean relation extraction term entity surface form repeatedly mentioned relation extraction paper doe mean example rebel paper author mention relation considered correct head tail entity surface form correctly extracted meant head tail
Is there a method to extract quotes and their related speakers in the French language?,"<p>Is there a method to extract quote and their related speaker with the gestion of coreference?</p>
<p>I want in output to get a dict with [{&quot;speaker&quot; : , &quot;quotes&quot;: }] and if we don’t find the speaker, we put None to speaker and add &quot;Potential Speaker&quot; : coreference</p>
",Coreference & Relation Extraction,method extract quote related speaker french language method extract quote related speaker gestion coreference want output get dict speaker quote find speaker put none speaker add potential speaker coreference
Spacy CoReference resolution in version 3.7,"<p>While following some documentation from spaCy to use the experimental Coreference Resolver (<a href=""https://spacy.io/api/coref"" rel=""nofollow noreferrer"">https://spacy.io/api/coref</a>), I could make it work with the code below in spaCy 3.4.0.</p>
<pre><code>import spacy
nlp = spacy.load(&quot;en_coreference_web_trf&quot;)
text = &quot;Philip plays the bass because he loves it&quot;
doc = nlp(text)
print(doc.spans)
</code></pre>
<p>Unfortunately the same code, does not work in version 3.7.6 (latest as in 2024 Sept 26). For many reasons, the first is that there is no compatible model with 3.7.*. And I could not find other way to use it.</p>
<p>Any hints in how to use Coref resolution with the latest spaCy version?</p>
",Coreference & Relation Extraction,spacy coreference resolution version following documentation spacy use experimental coreference resolver could make work code spacy unfortunately code doe work version latest sept many reason first compatible model could find way use hint use coref resolution latest spacy version
Coreference resolution when there are no explicit references,"<p>To improve a chatbot's performance I need to modify the user's question to include contextual information before passing it to the chatbot. For this task I planned on using a neural coreference resolution model such as spaCy's &quot;en-coreference-web-trf&quot; <a href=""https://github.com/explosion/spaCy/discussions/11585#discussioncomment-3970887"" rel=""nofollow noreferrer"">model</a>. I can just use GPT for this but it is heavy weight and not suitable for my application, but spaCy's model is just fine for this issue.</p>
<p>Now I came across another problem, that is, when there are no explicit references available to resolve in the user's question. For example, consider the following conversation:</p>
<pre><code>Q: How to treat for blast pest?  
A: To treat for blast pest in rice, you can treat the seeds with Pseudomonas fluorescens 
Q: What about brinjal?
</code></pre>
<p>I need the question &quot;What about brinjal&quot; to include contextual information and be modified to &quot;What about blast pest in brinjal&quot;. The coreference in the user's question here is implicit.</p>
<p>If there is an explicit coreference term such as &quot;it&quot;, it can be resolved/replaced by &quot;blast pest&quot; by the coreference resolution model.</p>
<pre><code>Q: What about it in brinjal?
</code></pre>
<p>Any suggestions on how these cases can be handled? I don't think a neural coreference resolution model can deal with this. I know we can solve this through the use of large LLMs but I need something lightweight with fast inference time.</p>
<p>How to resolve implicit coreferences such as in the above examples?</p>
",Coreference & Relation Extraction,coreference resolution explicit reference improve chatbot performance need modify user question include contextual information passing chatbot task planned using neural coreference resolution model spacy en coreference web trf model use gpt heavy weight suitable application spacy model fine issue came across another problem explicit reference available resolve user question example consider following conversation need question brinjal include contextual information modified blast pest brinjal coreference user question implicit explicit coreference term resolved replaced blast pest coreference resolution model suggestion case handled think neural coreference resolution model deal know solve use large llm need something lightweight fast inference time resolve implicit coreference example
How can I tune neuralcoref to get the better coreference results?,"<p>I'm using neuralcoref - a coreference resolution module based on the spaCy parser. GIT <a href=""https://github.com/huggingface/neuralcoref"" rel=""nofollow noreferrer"">https://github.com/huggingface/neuralcoref</a></p>

<p>However, the results I'm getting could be improved. The online visualizer provided by huggingface (developer of neuralcoref) gives me more accurate results.</p>

<p>The text I'm analyzing:
""London is the capital and most populous city of England and the United Kingdom. Standing on the River Thames in the south east of the island of Great Britain, it has been a major settlement for two millennia.""</p>

<p>I get this result:</p>

<pre><code>doc._.coref_resolved 
</code></pre>

<blockquote>
  <blockquote>
    <blockquote>
      <p>London is the capital and most populous city of England and the United Kingdom. Standing on the River Thames in the south east of the island of Great Britain, the River Thames has been a major settlement for two millennia.</p>
    </blockquote>
  </blockquote>
</blockquote>

<p>So it's mistakingly linking London with River Thames. (it -> River Thames)</p>

<p>The neuralcoref online visualizer returns the correct link (it -> London)</p>

<p><a href=""https://huggingface.co/coref/?text=London%20is%20the%20capital%20and%20most%20populous%20city%20of%20England%20and%20the%20United%20Kingdom.%20Standing%20on%20the%20River%20Thames%20in%20the%20south%20east%20of%20the%20island%20of%20Great%20Britain%2C%20it%20has%20been%20a%20major%20settlement%20for%20two%20millennia.%20It%20was%20founded%20by%20the%20Romans%2C%20who%20named%20it%20Londinium"" rel=""nofollow noreferrer"">https://huggingface.co/coref/?text=London%20is%20the%20capital%20and%20most%20populous%20city%20of%20England%20and%20the%20United%20Kingdom.%20Standing%20on%20the%20River%20Thames%20in%20the%20south%20east%20of%20the%20island%20of%20Great%20Britain%2C%20it%20has%20been%20a%20major%20settlement%20for%20two%20millennia.%20It%20was%20founded%20by%20the%20Romans%2C%20who%20named%20it%20Londinium</a>.</p>

<p>I have already tried tuning parameters such as greedyness, max_dist mentioned on the project's git page <a href=""https://github.com/huggingface/neuralcoref"" rel=""nofollow noreferrer"">https://github.com/huggingface/neuralcoref</a></p>

<pre><code>import spacy
nlp = spacy.load('en_core_web_lg')

import neuralcoref
neuralcoref.add_to_pipe(nlp,greedyness=0.5,store_scores=True)

text = ""London is the capital and most populous city of England and   the United Kingdom. Standing on the River Thames in the south east of the island of Great Britain, it has been a major settlement for two millennia.""# It was founded by the Romans, who named it Londinium.""

doc = nlp(text)
print(doc._.coref_resolved)
doc._.coref_scores
</code></pre>

<p>Is there a way to tune it to get results similar to those from the visualizer?</p>

<p>Thank you!</p>
",Coreference & Relation Extraction,tune neuralcoref get better coreference result using neuralcoref coreference resolution module based spacy parser git however result getting could improved online visualizer provided huggingface developer neuralcoref give accurate result text analyzing london capital populous city england united kingdom standing river thames south east island great britain ha major settlement two millennium get result london capital populous city england united kingdom standing river thames south east island great britain river thames ha major settlement two millennium mistakingly linking london river thames river thames neuralcoref online visualizer return correct link london already tried tuning parameter greedyness max dist mentioned project git page way tune get result similar visualizer thank
What is the best way to handle Coreference Resolution in NLP,"<p>For example,</p>
<p>Context: I am Yash and he is Jay who is my close friend.
Generated Question: Who is Jay?
Generated Answer: my close friend.</p>
<p>But the Answer should be something like following:</p>
<ul>
<li>Yash's close friend.</li>
<li>Jay is a cose friend of Yash.</li>
</ul>
<p>I have tried out AllenNLP and other Standford-NLP solutions but didn't work out at all.</p>
",Coreference & Relation Extraction,best way handle coreference resolution nlp example context yash jay close friend generated question jay generated answer close friend answer something like following yash close friend jay cose friend yash tried allennlp standford nlp solution work
is there a method to extract adj nous pairs for french (with conjunction),"<p>i want to extract all NOUN - ADJ pairs (with conjunction and coreference) from a texts using spacy ? is there any method or solution ?</p>
",Coreference & Relation Extraction,method extract adj nous pair french conjunction want extract noun adj pair conjunction coreference text using spacy method solution
