Title,Description,category,combined_text
Difference between constituency parser and dependency parser,"<p>What is the difference between a <em>constituency parser</em> and a <em>dependency parser</em>? What are the different usages of the two?</p>
",Parsing & POS Tagging,difference constituency parser dependency parser difference constituency parser dependency parser different usage two
How to use Chunker Class in OpenNLP?,"<p>The <code>ChunkerME</code> class in OpenNLP has a <code>chunk()</code> method which takes two <code>String[]</code>. The first one should be the tags (tags from part of speech tagging process) and the second one is the actual terms.</p>

<p>I'm having a tagged string in the format of <code>Sir_NNP Arthur_NNP Conan_NNP...</code> and I'd like to chunk it using the ChunkerME class. However the chunker does not accept this string as is. however the OpenNLP command line has a command (opennlp ChunkerME en-chunker.bin) which directly accepts a tagged sentence and return a chunked sentence. </p>

<p>How can I use something like the one in the command line.</p>
",Parsing & POS Tagging,use chunker class opennlp class opennlp ha method take two first one tag tag part speech tagging process second one actual term tagged string format like chunk using chunkerme class however chunker doe accept string however opennlp command line ha command opennlp chunkerme en chunker bin directly accepts tagged sentence return chunked sentence use something like one command line
How to use &quot;Previous Tag&quot; as a feature?,"<p>I was implementing a CRF based POS tagging model using CRFsuite. I have included the features like checking if the word is capitalized, prefix of the word, suffix of the word, etc. However, these features are word based features.
I want to include POS tags based features in my prediction model.</p>
<p>If I simply define the POS tag feature as follows</p>
<pre><code>features = {
    ...
    'prevpos' : '' if i==0 else sentence[i-1][1],
    ...
}
</code></pre>
<p>I have no doubt that this will work for training my model on the corpus. But, when I will use it to predict POS tags for my test sentence, I am unsure about the behavior of this model. Because I think that the feature to extract the previous tag should not work as we do not know them previously.</p>
<p>Also, I do not know the behavior shown by the line <code>X_test_sentence = sent2features(test_sentence_tagged)</code> which will extract the features of the test sentence. And when I use my training model for predicting, <code>tags = crf.predict_single(X_test_sentence)</code> I have no idea about how the previous tags (say we assign dummy tags to test sentence words) will affect (or will not affect) the prediction.</p>
",Parsing & POS Tagging,use previous tag feature wa implementing crf based po tagging model using crfsuite included feature like checking word capitalized prefix word suffix word etc however feature word based feature want include po tag based feature prediction model simply define po tag feature follows doubt work training model corpus use predict po tag test sentence unsure behavior model think feature extract previous tag work know previously also know behavior shown line extract feature test sentence use training model predicting idea previous tag say assign dummy tag test sentence word affect affect prediction
NLTK RegEx Chunker not capturing defined grammar patterns with wildcards,"<p>I am trying to chunk a sentence using NLTK's POS tags as regular expressions. 2 rules are defined to identify phrases, based on the tags of words in the sentence.</p>
<p>Mainly, I wanted to capture the chunk of <strong>one or more verbs followed by an optional determiner and then one or more nouns at the end</strong>. This is the first rule in definition. But it is not getting captured as Phrase Chunk.</p>
<pre><code>import nltk

## Defining the POS tagger 
tagger = nltk.data.load(nltk.tag._POS_TAGGER)


## A Single sentence - input text value
textv=&quot;This has allowed the device to start, and I then see glitches which is not nice.&quot;
tagged_text = tagger.tag(textv.split())

## Defining Grammar rules for  Phrases
actphgrammar = r&quot;&quot;&quot;
     Ph: {&lt;VB*&gt;+&lt;DT&gt;?&lt;NN*&gt;+}  # verbal phrase - one or more verbs followed by optional determiner, and one or more nouns at the end
     {&lt;RB*&gt;&lt;VB*|JJ*|NN*\$&gt;} # Adverbial phrase - Adverb followed by adjective / Noun or Verb
     &quot;&quot;&quot;

### Parsing the defined grammar for  phrases
actp = nltk.RegexpParser(actphgrammar)

actphrases = actp.parse(tagged_text)
</code></pre>
<p>The input to the chunker, tagged_text is as below.</p>
<blockquote>
<p>tagged_text
Out[7]:
[('This', 'DT'),
('has', 'VBZ'),
('allowed', 'VBN'),
('the', 'DT'),
('device', 'NN'),
('to', 'TO'),
('start,', 'NNP'),
('and', 'CC'),
('I', 'PRP'),
('then', 'RB'),
('see', 'VB'),
('glitches', 'NNS'),
('which', 'WDT'),
('is', 'VBZ'),
('not', 'RB'),
('nice.', 'NNP')]</p>
</blockquote>
<p>In the final output, only the adverbial phrase ('<strong>then see</strong>'), that is matching the second rule is being captured.
I expected the verbal phrase ('<strong>allowed the device</strong>') to match with the first rule and get captured as well, but its not.</p>
<blockquote>
<p>actphrases Out[8]: Tree('S', [('This', 'DT'), ('has', 'VBZ'),
('allowed', 'VBN'), ('the', 'DT'), ('device', 'NN'), ('to', 'TO'),
('start,', 'NNP'), ('and', 'CC'), ('I', 'PRP'), <em><strong>Tree('Ph', [('then',
'RB'), ('see', 'VB')])</strong></em>, ('glitches', 'NNS'), ('which', 'WDT'), ('is',
'VBZ'), ('not', 'RB'), ('nice.', 'NNP')])</p>
</blockquote>
<p>NLTK version used is 2.0.5 (Python 2.7)
Any help or suggestion would be greatly appreciated.</p>
",Parsing & POS Tagging,nltk regex chunker capturing defined grammar pattern wildcards trying chunk sentence using nltk po tag regular expression rule defined identify phrase based tag word sentence mainly wanted capture chunk one verb followed optional determiner one noun end first rule definition getting captured phrase chunk input chunker tagged text tagged text dt ha vbz allowed vbn dt device nn start nnp cc prp rb see vb glitch nns wdt vbz rb nice nnp final output adverbial phrase see matching second rule captured expected verbal phrase allowed device match first rule get captured well actphrases tree dt ha vbz allowed vbn dt device nn start nnp cc prp tree ph rb see vb glitch nns wdt vbz rb nice nnp nltk version used python help suggestion would greatly appreciated
How can I prevent the benepar parser from splitting a specific substring when parsing a string?,"<p>I use the <a href=""https://github.com/nikitakit/self-attentive-parser"" rel=""nofollow noreferrer"">benepar parser</a> to parse sentences into trees. How can I prevent the benepar parser from splitting a specific substring when parsing a string?</p>
<p>E.g., the token <code>gonna</code> is split by benepar into two tokens <code>gon</code> and <code>na</code>, which I don't want.</p>
<hr />
<p>Code example, with pre-requisites:</p>
<pre><code>pip install spacy benepar
python -m nltk.downloader punkt benepar_en3
python -m spacy download en_core_web_md
</code></pre>
<p>If I run:</p>
<pre class=""lang-py prettyprint-override""><code>import benepar, spacy
import nltk
benepar.download('benepar_en3')
nlp = spacy.load('en_core_web_md')
if spacy.__version__.startswith('2'):
    nlp.add_pipe(benepar.BeneparComponent(&quot;benepar_en3&quot;))
else:
    nlp.add_pipe(&quot;benepar&quot;, config={&quot;model&quot;: &quot;benepar_en3&quot;})
doc = nlp(&quot;This is gonna be fun.&quot;)
sent = list(doc.sents)[0]
print(sent._.parse_string)
</code></pre>
<p>It'll output:</p>
<pre><code>(S (NP (DT This)) (VP (VBZ is) (VP (TO gon) (VP (TO na) (VP (VB be) (NP (NN fun)))))) (. .))
</code></pre>
<p>The issue is that the token <code>gonna</code> is split into two tokens <code>gon</code> and <code>na</code>. How can I prevent that?</p>
",Parsing & POS Tagging,prevent benepar parser splitting specific substring parsing string use benepar parser parse sentence tree prevent benepar parser splitting specific substring parsing string e g token split benepar two token want code example pre requisite run output issue token split two token prevent
How to save the output of constituency parsing diagram as an image?,"<p>Using the svgling module I have generated the constituency parse tree. Here is the github link of svgling: <a href=""https://github.com/rawlins/svgling"" rel=""nofollow noreferrer"">svgling module github</a></p>
<pre><code>pip install svgling
import svgling
import nltk
var ='(S (NP this tree) (VP (V is) (AdjP pretty)))'
svgling.disable_nltk_png()
random=svgling.draw_tree(nltk.Tree.fromstring(var))
display(random)

</code></pre>
<p>Using this code I have got the diagram as an output (given below) of the constituency parse tree. I want to generate .png file of this output.
<a href=""https://i.sstatic.net/7BJrG.png"" rel=""nofollow noreferrer"">Constituency parse tree (Output of the above code)</a></p>
<p>To save the output as .png file I have run this following code.</p>
<pre><code>import os
from nltk.tree import Tree
from nltk.draw.tree import TreeView
from nltk.draw.util import CanvasFrame
from nltk.draw import TreeWidget
os.system('Xvfb :1 -screen 0 1600x1200x16  &amp;')    # create virtual display with size 1600x1200 and 16 bit color. Color can be changed to 24 or 8
os.environ['DISPLAY']=':1.0' 
t = Tree.fromstring('(S (NP this tree) (VP (V is) (AdjP pretty)))')
cf = CanvasFrame()
TreeView(t)._cframe.print_to_file('output.ps')
os.system('convert output.ps output.png')
</code></pre>
<p>However, this code is showing error in google colab <code>TclError: couldn't connect to display &quot;:1.0&quot; </code> and returning a numerical value (ex: 4) in jupyter notebook.</p>
<p>I tried to look into it on several websites but couldn't find any solution.</p>
",Parsing & POS Tagging,save output constituency parsing diagram image using svgling module generated constituency parse tree github link svgling svgling module github using code got diagram output given constituency parse tree want generate png file output constituency parse tree output code save output png file run following code however code showing error google colab returning numerical value ex jupyter notebook tried look several website find solution
How to read constituency based parse tree,"<p>I have a corpus of sentences that were preprocessed by Stanford's <a href=""http://nlp.stanford.edu/software/corenlp.shtml"" rel=""noreferrer"">CoreNLP</a> systems. One of the things it provides is the sentence's Parse Tree (Constituency-based). While I can understand a parse tree when it's drawn (like a tree), I'm not sure how to read it in this format:</p>

<p>E.g.:</p>

<pre><code>          (ROOT
          (FRAG
          (NP (NN sent28))
          (: :)
          (S
          (NP (NNP Rome))
          (VP (VBZ is)
          (PP (IN in)
          (NP
          (NP (NNP Lazio) (NN province))
          (CC and)
          (NP
          (NP (NNP Naples))
          (PP (IN in)
          (NP (NNP Campania))))))))
          (. .)))
</code></pre>

<p>The original sentence is:</p>

<pre><code>sent28: Rome is in Lazio province and Naples in Campania .
</code></pre>

<p>How am I supposed to read this tree, or alternatively, is there a code (in python) that does it properly?
Thanks.</p>
",Parsing & POS Tagging,read constituency based parse tree corpus sentence preprocessed stanford corenlp system one thing provides sentence parse tree constituency based understand parse tree drawn like tree sure read format e g original sentence supposed read tree alternatively code python doe properly thanks
Is there a method to load caseless models to Stanford&#39;s NLP sentiment analysis?,"<p>In the Stanford documentation, <a href=""https://stanfordnlp.github.io/CoreNLP/caseless.html"" rel=""nofollow noreferrer"">the authors mention using caseless models to process case-insensitive text.</a> Namely the ability to load the GATE Twitter POS annotator. It is a POS annotator, but it doesn't mention that sentiment analysis processes this model to predict sentiment. How do I load it to CoreNLP and let the sentiment annotator use the more accurate models, not just for part-of-speech tagging?</p>
",Parsing & POS Tagging,method load caseless model stanford nlp sentiment analysis stanford documentation author mention using caseless model process case insensitive text namely ability load gate twitter po annotator po annotator mention sentiment analysis process model predict sentiment load corenlp let sentiment annotator use accurate model part speech tagging
Determining whether a word is a noun or not,"<p>Given an input word, I want to determine whether it is a noun or not (in case of ambiguity, for instance <code>cook</code> can be a noun or a verb, the word must be identified as a noun).</p>

<p>Actually I use the POS tagger from the Stanford Parser (i give it a single word as input, and i extract only the POS tag from the result). The results are quite good but it takes a very long time.</p>

<p>Is there a way (in python, please :) to perform this task quicker than what I do actually?</p>
",Parsing & POS Tagging,determining whether word noun given input word want determine whether noun case ambiguity instance noun verb word must identified noun actually use po tagger stanford parser give single word input extract po tag result result quite good take long time way python please perform task quicker actually
How to get all noun phrases in Spacy,"<p>I am new to <code>Spacy</code> and I would like to extract ""all"" the noun phrases from a sentence. I'm wondering how I can do it. I have the following code:</p>

<pre><code>import spacy

nlp = spacy.load(""en"")

file = open(""E:/test.txt"", ""r"")
doc = nlp(file.read())
for np in doc.noun_chunks:
    print(np.text)
</code></pre>

<p>But it returns only the base noun phrases, that is, phrases which don't have any other <code>NP</code> in them. That is, for the following phrase, I get the result below:</p>

<p>Phrase: <code>We try to explicitly describe the geometry of the edges of the images.</code></p>

<p>Result: <code>We, the geometry, the edges, the images</code>.</p>

<p>Expected result: <code>We, the geometry, the edges, the images, the geometry of the edges of the images, the edges of the images.</code></p>

<p>How can I get all the noun phrases, including nested phrases?</p>
",Parsing & POS Tagging,get noun phrase spacy new would like extract noun phrase sentence wondering following code return base noun phrase phrase following phrase get result phrase result expected result get noun phrase including nested phrase
Extracting sentences from a text document,"<p>I have a text document from which I'd like to extract the Noun phrases. In the first step I extract sentences and then I do a part of speech (pos) tagging for each sentence and then using the pos I do a chunking. I used StanfordNLP for these task, and this is the code for extracting the sentences.</p>

<pre><code>Reader reader = new StringReader(text);
DocumentPreprocessor dp = new DocumentPreprocessor(reader);
</code></pre>

<p>I think <code>DocumentPreprocessor</code> does a pos under the hood in order to extract the sentences. However, I'm doing another pos for extracting the noun phrases in the second phase as well. That is, pos is done twice and because pos is a computationally expensive task, I'm looking for a way to do it only once. Is there any way to do pos only once to extract sentences and noun phrases?</p>
",Parsing & POS Tagging,extracting sentence text document text document like extract noun phrase first step extract sentence part speech po tagging sentence using po chunking used stanfordnlp task code extracting sentence think doe po hood order extract sentence however another po extracting noun phrase second phase well po done twice po computationally expensive task looking way way po extract sentence noun phrase
How to get original token position in string from Stanza constituency parse tree?,"<p>I am using Stanza to extract noun phrases from texts. I am using this code to extract the NPs and store them according to their depth.</p>
<pre><code>nlp = stanza.Pipeline('en', tokenize_pretokenized=True)
sentence_tokens = ['This', 'is', 'a', 'sentence', '.']
doc = nlp(sentence_tokens)
for sent in doc.sentences:
    tree = sent.constituency

    def extract_NPs(tree, np_dict):
        for child in tree.children:
            if child.label=='NP':
                np_dict[child.depth()].append(child)
            np_dict = extract_NPs(child, np_dict)
        return np_dict
    nps = extract_NPs(tree, np_dict=defaultdict(list))
</code></pre>
<p>The output dictionary has the depth as the key, and a list of NP trees with that depth. Each NP is a Tree, described in the Stanza github <a href=""https://github.com/stanfordnlp/stanza/blob/b18e6e80fae7cefbfed7e5255c7ba4ef6f1adae5/stanza/models/constituency/parse_tree.py#L12"" rel=""nofollow noreferrer"">here</a>.</p>
<p>I have combed over the code and documentation, and I cannot seem to find a way to map the text of the NPs back to the position in the original input sentence. Simply finding the index of a token in the sentence_tokens doesn't work for me as many of these sentences have repeat tokens.</p>
<p>Any ideas?</p>
",Parsing & POS Tagging,get original token position string stanza constituency parse tree using stanza extract noun phrase text using code extract np store according depth output dictionary ha depth key list np tree depth np tree described stanza github combed code documentation seem find way map text np back position original input sentence simply finding index token sentence token work many sentence repeat token idea
Spacy get pos &amp; tag for specific word,"<p>I came across a situation where i have to get the pos_ &amp; tag_ from spacy doc objects. </p>

<p>For example, </p>

<pre><code>text = ""Australian striker John hits century""
doc = nlp(text)
for nc in doc.noun_chunks:
    print(nc) #Australian striker John
doc[1].tag_ # gives for striker
</code></pre>

<p>if I want to get <code>pos_</code> &amp; <code>tag_</code> for word 'striker' do I need to again give that sentence to <code>nlp()</code> ??</p>

<p>Also doc[1].tag_ is there, but I need something like doc['striker'].tag_ .. </p>

<p>Is there any possibility ? </p>
",Parsing & POS Tagging,spacy get po tag specific word came across situation get po tag spacy doc object example want get word striker need give sentence also doc tag need something like doc striker tag possibility
Custom spaCy tagger to tag all words that are in a dictionary,"<p>I'm trying spaCy to extract specific information from a text.
So I need to configure a custom tokenizer to identify them and a custom tagger to label all the words that are in an external dictionary in JSON format.</p>
<p>The tokenizer worked on several attempts, but the labeler has been having problems when processing simple text.
I hope that the label I will add to the words is a custom POS-Tag &quot;UNM&quot; and that I can attribute it to token.pos_ like all other labels &quot;NOUN&quot;, &quot;VERB&quot;, etc.</p>
<pre><code>import requests

#keywords dictionary
dictionary = requests.get(
    &quot;https://github.com/dglopes/NBR15575/raw/main/unidades_medidas.json&quot;).json()

    
#Creating the Custom Tagger
Doc.set_extension('pos_tag', default=None, force=True)

@Language.factory(&quot;keyword_pos_tagger&quot;)
class KeywordPosTagger:
   def __init__(self, name, nlp, keywords, pos_tag):
       self.keywords = keywords
       self.pos_tag = pos_tag
       #Doc.set_extension('pos_tag', default=None, force=True)

   def __call__(self, doc):
       for token in doc:
           if token.text in self.keywords:
               token._.pos_tag = self.pos_tag
       return doc

nlp = spacy.load('pt_core_news_md')


keywords = ('m²', 'm2', '(W/K)', 'ºC')
pos_tag = 'UNM' # substitua por seu rótulo POS

keyword_pos_tagger = KeywordPosTagger(nlp, 'keyword_pos_tagger', keywords, pos_tag)

config = {&quot;nlp&quot;: nlp, &quot;keywords&quot;: keywords, &quot;pos_tag&quot;: pos_tag}

nlp.add_pipe('keyword_pos_tagger', config = config)
</code></pre>
<p>&lt;<strong>main</strong>.KeywordPosTagger at 0x78d568e4cee0&gt;</p>
<p>And when I use the custom tagger:</p>
<pre><code>doc = nlp('A temperatura tem 159ºC ou 20 ºC. Também precisa ter 20m de largura e 14 m² de área, caso contrário terá 1 Kelvin (W/K)')
for token in doc:
   print(token.text, token._.pos_tag)
</code></pre>
<p>it returns this error</p>
<pre><code>---------------------------------------------------------------------------
AttributeError                            Traceback (most recent call last)
&lt;ipython-input-5-3c241e1c89fd&gt; in &lt;cell line: 1&gt;()
----&gt; 1 doc = nlp('A temperatura tem 159ºC ou 20 ºC. Também precisa ter 20m de largura e 14 m² de área, caso contrário terá 1 Kelvin (W/K)')
      2 for token in doc:
      3    print(token.text, token._.pos_tag)

4 frames
/usr/local/lib/python3.10/dist-packages/spacy/tokens/underscore.py in __setattr__(self, name, value)
     74     def __setattr__(self, name: str, value: Any):
     75         if name not in self._extensions:
---&gt; 76             raise AttributeError(Errors.E047.format(name=name))
     77         default, method, getter, setter = self._extensions[name]
     78         if setter is not None:

AttributeError: [E047] Can't assign a value to unregistered extension attribute 'pos_tag'. Did you forget to call the `set_extension` method?
</code></pre>
",Parsing & POS Tagging,custom spacy tagger tag word dictionary trying spacy extract specific information text need configure custom tokenizer identify custom tagger label word external dictionary json format tokenizer worked several attempt labeler ha problem processing simple text hope label add word custom po tag unm attribute token po like label noun verb etc main keywordpostagger x e cee use custom tagger return error
suPar constituency parser with POS tags,"<p>I have trained a <a href=""https://pypi.org/project/supar/"" rel=""nofollow noreferrer"">SuPar Constituency Parser</a> with my own dataset. I have a POS tagger model, too. How can I get an output that shows POS tags in it? The supar constituency parser outputs a sentence tree without POS tags.
example:</p>
<pre><code>&gt;&gt;&gt; con = Parser.load('crf-con-en')
&gt;&gt;&gt; con.predict(['I', 'saw', 'Sarah', 'with', 'a', 'telescope', '.'], verbose=False)[0].pretty_print()
              TOP                       
               |                         
           S                        
  _____________|______________________   
 |             VP                     | 
 |    _________|____                  |  
 |   |    |         PP                | 
 |   |    |     ____|___              |  
 NP  |    NP   |        NP            | 
 |   |    |    |     ___|______       |  
 _   _    _    _    _          _      _ 
 |   |    |    |    |          |      |  
 I  saw Sarah with  a      telescope  . 
</code></pre>
<p>I know that there is a tag argument in the constituency parse model (which can be seen <a href=""https://github.com/yzhangcs/parser/blob/main/supar/models/const/crf/model.py"" rel=""nofollow noreferrer"">here</a>), but I don't know how to use it.</p>
",Parsing & POS Tagging,supar constituency parser po tag trained supar constituency parser dataset po tagger model get output show po tag supar constituency parser output sentence tree without po tag example know tag argument constituency parse model seen know use
Using Python to find noun phrase and dependency,"<p>I'm trying to find a noun phrase from a set of sentences and output whether the sentence is true or false based on its presence.</p>
<p>For an example, following are four samples</p>
<pre><code>s1 = &quot;he reported red light&quot;
s2 = &quot;he found a red light at the end of the road&quot;
s3 = &quot;he denied to have seen red light&quot;
s4 = &quot;he said that the red light was absent&quot;
</code></pre>
<p>The output which I'm looking for is &quot;True&quot; for s1 and s2 (because from the sentence it is clear that the red light is present&quot;, whereas &quot;False&quot; for s3 &amp; s4, when the input string is &quot;red light&quot;</p>
<p>I tried using TextBlob which returns &quot;red light&quot; as noun phrase.</p>
<pre><code>print(TextBlob(s1).sentences[0].pos_tags)
print(TextBlob(s1).sentences[0].noun_phrases)
</code></pre>
<p>The example above are samples which can be part of a long sentence also.
Also, there can be combinations of positive words like &quot;present&quot;,&quot;found&quot;, &quot;spotted&quot;,&quot;has&quot; etc, same is the case with negative words</p>
<p>Also, if there are multiple noun phrases, but I want to find the presence of a particular noun phrase, how can I do it?</p>
",Parsing & POS Tagging,using python find noun phrase dependency trying find noun phrase set sentence output whether sentence true false based presence example following four sample output looking true sentence clear red light present whereas false input string red light tried using textblob return red light noun phrase example sample part long sentence also also combination positive word like present found spotted ha etc case negative word also multiple noun phrase want find presence particular noun phrase
